Datos,Media,Mediana,Varianza,Desviacion estandar,Asimetria,Curtosis
In degree weighted,0.5361481281361382,0.5524144199879581,0.016807792767725472,0.12964487173708597,-0.15388922947719694,-0.5904752137105427
Out degree weighted,0.5361481281361382,0.35603407426461653,0.3404256409507308,0.5834600594305756,1.7531485451715323,3.288486138110582
Hub,0.025,0.008963049248616746,0.002525465505804651,0.05025400984801761,4.853738753741588,26.83185226568235
Authority,0.025000000000000005,0.012361895102408217,0.0007211151797158075,0.026853587836931724,1.805172088929724,1.7464260550669004
Random Walk Centrality,0.0017933199399848808,0.0015227002072436728,6.532074874183993e-07,0.0008082125261454436,1.189453035263528,1.7660949907112395
Counting Betweenness,17.335024715249386,1.519398566872204,5319.8012685612775,72.93696777739858,5.7085160502310766,33.929294790235005
