Datos,Media,Mediana,Varianza,Desviacion estandar,Asimetria,Curtosis
In degree weighted,0.2718517176143246,0.24151671361214194,0.03468452398812362,0.1862378156769554,0.4480216297612277,-0.7731146106940252
Out degree weighted,0.27185171761432453,0.09491417605397909,0.17394748530732726,0.417070120372255,2.3807280053852375,6.243743780769993
Hub,0.024999999999999994,0.00398267843413436,0.004746867470501575,0.06889751425488133,4.837878129054093,25.593146599903843
Authority,0.025000000000000012,0.010978295036260525,0.0015046590635660077,0.038789935080714016,2.49646937633558,6.4487003734669734
Random Walk Centrality,0.01794829400714671,0.013486746188759498,0.0002303365149008922,0.015176841400663454,1.6316903147939437,3.9930597054617336
Counting Betweenness,1.8957139771548033,1.2012104771988388,4.558197994980803,2.1349936756301653,2.5657352176493773,8.470969635713026
