Datos,Media,Mediana,Varianza,Desviacion estandar,Asimetria,Curtosis
In degree weighted,0.46729509653650175,0.4384694137650137,0.03451744700059978,0.18578871602064476,0.4119101823420536,-0.20758953458981022
Out degree weighted,0.46729509653650175,0.24031226429602523,0.40151167371431773,0.633649488056542,3.004895681822664,10.646789515820846
Hub,0.025,0.010834006071191735,0.0034768022323561484,0.05896441496662329,5.0424165667244605,27.76667984608307
Authority,0.024999999999999994,0.016401880519249193,0.0009844992371212504,0.03137673082271718,3.8225371978805724,16.70558978248456
Random Walk Centrality,0.002941009029957404,0.0022153010318094442,4.983467365913675e-06,0.002232368107170875,1.8767490429854095,5.085730504161344
Counting Betweenness,15.490654201601728,2.151347490962106,2591.4099347629044,50.90589292766511,5.198819937736471,29.039824059391957
