Datos,Media,Mediana,Varianza,Desviacion estandar,Asimetria,Curtosis
In degree weighted,0.49144600635524033,0.5462340041640366,0.025445666534869477,0.15951697882943205,-1.0122719905667716,0.8259093795083365
Out degree weighted,0.49144600635524044,0.25122313605382773,0.32926249823183024,0.5738139927117761,2.351179192630188,6.718778037836717
Hub,0.025,0.011233001317495371,0.0012165935778023483,0.03487970151538496,2.334034908920692,5.2396185041488135
Authority,0.025,0.02468392762665976,0.00020361450031700028,0.014269355287363205,0.3768998229138061,0.3881977829372758
Random Walk Centrality,0.0019697261926483627,0.0016689289821165874,3.6747586292187807e-06,0.0019169659958431138,2.693931629490986,10.798980321264676
Counting Betweenness,21.732956758256005,1.89860759068097,13772.899114525699,117.35799552874826,6.303271647276045,39.81195449782377
