Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Madera y productos de madera y corcho,12260.24549801711,Productos farmacéuticos,13060.713835949133,Productos minerales no metálicos,25887.87663510653,Correo y telecomunicaciones,1678.0120597375458,Maquinarias y aparatos eléctricos,1917.8253957092911,Carne y derivados,10022.331798315035
Bebidas,12154.913894743271,Textiles,12254.098927276398,"Molinería, panadería y pastas",25673.134456522715,Otro equipo de transporte,1235.5479335277585,Textiles,1884.50762691361,Confecciones,9301.99912944436
Metales no ferrosos,11052.65600087868,Productos fabricados de metal (excepto maquinarias y equipos),10582.091789003622,Confecciones,25437.678102481477,Minería (no energía),1118.429471953093,Caza y pesca,1655.2222055317836,Productos farmacéuticos,9266.010419085627
Carne y derivados,10737.244779926335,Calzado,10556.254731333696,Maquinarias y aparatos eléctricos,24560.74246449176,"Molinería, panadería y pastas",1091.3440054485131,"Radio, televisión y equipos de telecomunicaciones",1629.107955206216,Bebidas,8811.383956074726
Productos farmacéuticos,8372.589293295543,Maquinarias y aparatos eléctricos,10465.356800709547,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),24008.6144076628,Confecciones,1086.3843096362152,Productos de caucho y plástico,1595.5377071207822,Metales no ferrosos,7939.911965403713
"Molinería, panadería y pastas",7719.507913633237,Azúcar y productos de confitería,9071.246628892744,Productos farmacéuticos,21433.30312924468,Equipo médico e instrumentos ópticos y de precisión,1047.3965391975962,Bebidas,1402.6630072948883,Madera y productos de madera y corcho,7633.72822530568
Azúcar y productos de confitería,6323.377785530253,Metales no ferrosos,8709.537375097818,Metales no ferrosos,19762.193375976494,Productos minerales no metálicos,965.0529188038151,Productos de tabaco,1251.01964646833,Maquinarias y aparatos eléctricos,7416.597658514972
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),6024.470787940752,Productos químicos básicos,8311.174585456944,Madera y productos de madera y corcho,19374.499302903005,Metales no ferrosos,954.0701692357242,Productos fabricados de metal (excepto maquinarias y equipos),1170.1005154725533,"Molinería, panadería y pastas",6918.974370956421
Confecciones,5098.307430279061,Madera y productos de madera y corcho,7114.253804885893,"Radio, televisión y equipos de telecomunicaciones",17745.829880430432,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),918.1335497893292,Finanzas y seguros,1050.96009361744,Caza y pesca,4200.211535351351
Otro equipo de transporte,3268.578261087444,Productos de caucho y plástico,6558.540302893404,Azúcar y productos de confitería,15394.624414423,Aeronaves y naves espaciales,805.6448988663573,Otro equipo de transporte,907.2623523293408,Azúcar y productos de confitería,4172.571375817067
Caza y pesca,3169.5314971571456,Equipos de oficina (incluye equipo computacional),6087.816013381097,Calzado,12928.655414779676,Bebidas,738.7855355070466,Productos farmacéuticos,710.0362920514891,Calzado,3533.458257257937
"Radio, televisión y equipos de telecomunicaciones",3084.9014025192973,Productos de tabaco,5934.003659126022,Otro equipo de transporte,8856.674828087102,Carne y derivados,637.8593967310563,Correo y telecomunicaciones,532.9699282646187,"Radio, televisión y equipos de telecomunicaciones",3219.064700007328
Calzado,2372.400683445981,Otro equipo de transporte,5588.096566999658,Caza y pesca,7777.9859539673025,Calzado,621.4639474987576,"Molinería, panadería y pastas",492.35262042367617,Equipo médico e instrumentos ópticos y de precisión,2659.130467243496
Equipo médico e instrumentos ópticos y de precisión,2251.4913038387704,Aeronaves y naves espaciales,5163.043846037981,Equipos de oficina (incluye equipo computacional),6889.762333199396,Madera y productos de madera y corcho,446.8075427638345,Equipo médico e instrumentos ópticos y de precisión,484.55301750861526,Productos de tabaco,2262.266869415761
Aeronaves y naves espaciales,899.6663924745661,Caza y pesca,4608.454456810156,Productos de tabaco,6439.363146528752,Azúcar y productos de confitería,292.1752912535729,Construcción,391.54700469970754,Otro equipo de transporte,2174.087307112296
Equipos de oficina (incluye equipo computacional),801.946319818299,Equipo médico e instrumentos ópticos y de precisión,4003.479730202919,Equipo médico e instrumentos ópticos y de precisión,6254.971034041689,Caza y pesca,171.52313634531362,Equipos de oficina (incluye equipo computacional),268.3294980724283,Aeronaves y naves espaciales,1432.6464465255842
Productos de tabaco,505.3594874027288,Productos minerales no metálicos,3314.5549135335987,Aeronaves y naves espaciales,6062.710238512547,Productos de tabaco,116.150531973176,Electricidad y gas,0.2352885678410534,Equipos de oficina (incluye equipo computacional),1208.6558417268095
