Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Calzado,904.510645260057,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),1165.719653445895,Calzado,2705.6143403575,Madera y productos de madera y corcho,145.0924426276978,Productos fabricados de metal (excepto maquinarias y equipos),311.696517973822,"Coque, petróleo refinado y combustible nuclear",1087.60374927521
Metales no ferrosos,885.496718824319,Textiles,1083.3148249887354,Productos minerales no metálicos,2650.39324258315,Productos minerales no metálicos,121.6411389767616,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),310.529046616545,Metales no ferrosos,916.076066732407
Maquinarias y aparatos eléctricos,799.984009042046,Confecciones,1076.291335629716,Minería (no energía),1923.83300903808,Metales no ferrosos,110.0790816541289,Productos de tabaco,287.619668010325,Productos de tabaco,786.778396368027
Azúcar y productos de confitería,614.534243501156,Productos de tabaco,1072.1889171988844,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),1503.56775763687,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),106.3002155822627,Azúcar y productos de confitería,241.52401472588,Maquinarias y aparatos eléctricos,686.492771148682
Productos farmacéuticos,561.527415105306,Madera y productos de madera y corcho,748.3463945394135,Azúcar y productos de confitería,1360.31647152258,"Molinería, panadería y pastas",94.9528727733949,Maquinarias y aparatos eléctricos,232.118541429997,Azúcar y productos de confitería,551.788093566895
Minería (no energía),556.581418374614,Azúcar y productos de confitería,745.7822280214216,Confecciones,1343.27629064223,Minería (no energía),87.6279661023974,Productos minerales no metálicos,164.919387619177,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),539.66467666626
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),337.848104190978,Caza y pesca,629.6731257032918,Metales no ferrosos,1301.60138999045,Equipo médico e instrumentos ópticos y de precisión,78.84233619511849,Correo y telecomunicaciones,163.299298740835,Caza y pesca,494.121771275997
Confecciones,266.984955012515,Maquinarias y aparatos eléctricos,432.2814266920192,Productos de tabaco,1282.27649091617,Azúcar y productos de confitería,51.3511075112159,Equipo médico e instrumentos ópticos y de precisión,145.738222348058,Calzado,431.181950569153
"Radio, televisión y equipos de telecomunicaciones",260.80584062228,Metales no ferrosos,416.1046711661323,Maquinarias y aparatos eléctricos,1232.26543573407,Aeronaves y naves espaciales,48.73311426124673,Finanzas y seguros,145.097882077879,Carne y derivados,409.163555264473
Productos de tabaco,210.087573717283,Productos minerales no metálicos,333.1830176806051,Caza y pesca,785.400252340033,Carne y derivados,46.7278221557065,Confecciones,112.836144381726,Aeronaves y naves espaciales,163.01705789566
Caza y pesca,155.727126636741,"Radio, televisión y equipos de telecomunicaciones",313.941858351959,"Radio, televisión y equipos de telecomunicaciones",574.747698974239,Otro equipo de transporte,40.9625451036133,"Radio, televisión y equipos de telecomunicaciones",85.8412514589271,Equipos de oficina (incluye equipo computacional),131.528923392296
Aeronaves y naves espaciales,134.781194593474,Equipo médico e instrumentos ópticos y de precisión,254.10070802123155,Equipo médico e instrumentos ópticos y de precisión,337.10517653511,Finanzas y seguros,30.17596279154822,Aeronaves y naves espaciales,53.7401563630136,Equipo médico e instrumentos ópticos y de precisión,116.108692169189
Equipo médico e instrumentos ópticos y de precisión,83.0044685138783,Otro equipo de transporte,198.619550574032,Aeronaves y naves espaciales,306.56091900693,Productos de tabaco,30.079860805080106,Equipos de oficina (incluye equipo computacional),24.6289361814333,Confecciones,92.2971525192261
Otro equipo de transporte,67.5508234194332,Aeronaves y naves espaciales,171.77972441345634,Otro equipo de transporte,266.170373993465,Equipos de oficina (incluye equipo computacional),16.573501577989067,Otro equipo de transporte,17.1800694985163,"Radio, televisión y equipos de telecomunicaciones",78.7478704452515
Equipos de oficina (incluye equipo computacional),66.7306903378768,Equipos de oficina (incluye equipo computacional),99.26717716812811,Equipos de oficina (incluye equipo computacional),165.997867506005,Caza y pesca,15.96457752400963,Construcción,4.19433215901881,Otro equipo de transporte,7.4474790096283
