Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Maquinarias y equipos (excluye maquinaria eléctrica),709.7497419500304,Electricidad y gas,630.4980637108168,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),1621.2952872027156,Metales no ferrosos,201.7524764130571,Textiles,23.04071218040812,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),765.3177852630615
Minería (no energía),706.2589274548089,Productos de caucho y plástico,571.0277233084703,Minería (no energía),1491.9170534148948,Minería (no energía),113.96385311954828,Caza y pesca,12.727996663605154,Productos farmacéuticos,730.3523483276367
"Vehículos de motor, remolques y semirremolques",656.3906054237459,Maquinarias y aparatos eléctricos,404.8710317352221,Productos farmacéuticos,1351.977827744231,Calzado,111.43451536499845,Confecciones,9.660401123089729,Productos minerales no metálicos,688.9092292785645
Maquinarias y aparatos eléctricos,456.6860727977362,Caza y pesca,369.5817356369232,Maquinarias y equipos (excluye maquinaria eléctrica),1014.644939091641,Productos minerales no metálicos,108.64195257119113,Azúcar y productos de confitería,6.853917800355703,Caza y pesca,444.29743909835815
Madera y productos de madera y corcho,413.6617953019511,Calzado,361.4187054719181,Maquinarias y aparatos eléctricos,861.5571045329583,Electricidad y gas,88.96527390758148,Transporte,6.704037021281692,Maquinarias y equipos (excluye maquinaria eléctrica),430.5950241088867
Azúcar y productos de confitería,379.2556811157547,Productos minerales no metálicos,351.82968948107185,Caza y pesca,565.5679378614735,Azúcar y productos de confitería,61.15814027873556,Equipo médico e instrumentos ópticos y de precisión,6.248366595281276,Maquinarias y aparatos eléctricos,352.3586006164551
Productos farmacéuticos,210.2083272963255,Maquinarias y equipos (excluye maquinaria eléctrica),304.8951971416108,Azúcar y productos de confitería,563.8373894401961,Madera y productos de madera y corcho,46.10390040561644,Finanzas y seguros,5.718899948867453,Azúcar y productos de confitería,216.91371250152588
Caza y pesca,195.9862022245502,Productos de tabaco,262.524417023005,Madera y productos de madera y corcho,533.1324908451359,Productos de tabaco,38.203454805139806,Electricidad y gas,5.686485752463341,Madera y productos de madera y corcho,212.5664796829224
Equipo médico e instrumentos ópticos y de precisión,113.30692207671764,Azúcar y productos de confitería,184.58170832444145,Calzado,416.1165151792872,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),34.98714217430139,Calzado,5.568150913232103,Calzado,165.37773036956787
Confecciones,59.29718344880807,Madera y productos de madera y corcho,119.47069554318472,Productos de tabaco,283.9595104959302,Confecciones,23.897605575437705,Construcción,4.000554392559511,Productos de tabaco,144.15528059005737
Calzado,54.69780970736909,Otro equipo de transporte,74.83212195144704,Confecciones,105.76465286731118,Caza y pesca,14.78380259209497,Otros servicios,1.8736522672104317,Otro equipo de transporte,35.74519217014313
Productos de tabaco,21.4350934729252,Confecciones,46.46746941850311,Otro equipo de transporte,90.75716769229622,Equipo médico e instrumentos ópticos y de precisión,7.174244065326644,Carne y derivados,1.4972441555914884,Confecciones,30.608100414276123
Otro equipo de transporte,15.925045740849177,Equipos de oficina (incluye equipo computacional),2.5332071961202414,Equipo médico e instrumentos ópticos y de precisión,68.19319951465556,Otro equipo de transporte,5.528662220881232,Correo y telecomunicaciones,0.4069190798245401,Equipo médico e instrumentos ópticos y de precisión,25.738410353660583
Equipos de oficina (incluye equipo computacional),6.2116552340250735,Aeronaves y naves espaciales,0.0,Equipos de oficina (incluye equipo computacional),8.744862430145314,Equipos de oficina (incluye equipo computacional),1.260828317637884,Equipos de oficina (incluye equipo computacional),0.298420857711714,Equipos de oficina (incluye equipo computacional),2.8263943195343018
Aeronaves y naves espaciales,0.0,"Radio, televisión y equipos de telecomunicaciones",0.0,Aeronaves y naves espaciales,0.0,Aeronaves y naves espaciales,0.0,"Radio, televisión y equipos de telecomunicaciones",0.1221348710743945,Aeronaves y naves espaciales,0.0
"Radio, televisión y equipos de telecomunicaciones",0.0,Equipo médico e instrumentos ópticos y de precisión,-45.11372256206211,"Radio, televisión y equipos de telecomunicaciones",0.0,"Radio, televisión y equipos de telecomunicaciones",0.0,Aeronaves y naves espaciales,0.004400231263844,"Radio, televisión y equipos de telecomunicaciones",0.0
