Datos,Media,Mediana,Varianza,Desviacion estandar,Asimetria,Curtosis
Demanda Intermedia,2481.8307927818014,926.0114165297659,14215367.300166635,3770.3272139386836,2.9936981517654107,10.457610510147163
Demanda Final,3877.749824431137,1159.802993676867,118645588.63187961,10892.45558319517,5.63820180904956,33.631769383731694
Producción Final,6359.58061721294,2481.2323875045013,195699547.13175783,13989.265425023497,5.3287647809287595,31.13287775362485
Importaciones,344.2820523051439,225.235994168361,219936.1352513589,468.97349099001207,3.390149715290938,14.602501731504614
Exportaciones,551.3733818748444,254.06204835585328,1161572.016898362,1077.7625048675436,4.567044448385806,24.154175391647033
Valor Agregado,3385.689963698387,694.3888092041016,79532033.54397838,8918.073421091485,5.39932324330657,31.705857775651065
