Datos,Media,Mediana,Varianza,Desviacion estandar,Asimetria,Curtosis
Demanda Intermedia,30845.66943445042,17349.58297774502,1434433510.997298,37873.915971249895,2.200904326970089,5.239670077350157
Demanda Final,41773.8485818495,16788.28097306699,8886461575.337889,94268.03050524546,5.311651728545907,30.762427921059736
Producción Final,72619.51801629993,36036.585816034436,14865097983.93499,121922.50811041819,4.366439630782975,22.186583307680547
Importaciones,3047.361802772671,1944.3592758991686,8996351.133412689,2999.3917939163416,1.6672469382898054,2.8070211555555855
Exportaciones,6930.449389332383,2792.9763831396767,106480171.59258777,10318.922986076976,2.8363370301152195,9.18952795209936
Valor Agregado,37588.590049261824,10684.557645946737,7058825630.018159,84016.81754278818,4.611333039048379,23.829993327747353
