Datos,Media,Mediana,Varianza,Desviacion estandar,Asimetria,Curtosis
Demanda Intermedia,3616.1555002922805,1988.92281858547,30789564.4387211,5548.834511743984,3.3318309639420973,13.133908926150802
Demanda Final,4727.236112096575,1847.4075371689137,117121047.48615155,10822.247801919504,5.02728988373523,27.82115945268815
Producción Final,8343.391612388854,5047.67624550566,244706193.99637055,15643.087738562695,4.793172181603747,26.227665945207807
Importaciones,469.83812867158724,248.2481898831303,338348.4618386343,581.6772832410032,2.298425017670529,6.505023539642929
Exportaciones,1070.169252084097,422.3690138040665,3474567.005304576,1864.0190463899708,3.733430737236032,15.975738881979122
Valor Agregado,4080.626544688644,1381.30317401886,103008388.29962318,10149.304818539207,5.389819654275611,31.527949673385617
