Datos,Media,Mediana,Varianza,Desviacion estandar,Asimetria,Curtosis
Demanda Intermedia,132.52442485966012,43.526204607874,50441.41727570363,224.59166786794123,2.781689630961087,8.221832680553872
Demanda Final,291.2713144946403,88.42715125664611,469163.02037852106,684.9547579063315,5.187665720901396,29.82607826080847
Producción Final,423.79573935430045,171.53098046680321,655588.6227579567,809.6842735029234,4.0770849549254775,19.542342142585248
Importaciones,37.46009652323106,15.956765451249165,4656.5548765551075,68.23895424576132,3.110813430264964,9.950724989980193
Exportaciones,80.0613022057964,9.93329014984593,43080.51823529052,207.55846943762742,3.8445529379280865,14.85384530533575
Valor Agregado,223.7463081869064,74.89545721560717,258455.80864756362,508.38549216865306,4.533005252127741,23.16543172375825
