In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
"Pulpa de madera, papel, imprentas y editoriales",0.21313302772612705,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.04563391383212689,Productos químicos básicos,0.0014717951804209012,Correo y telecomunicaciones,0.006043041718553175,Hierro y acero,0.011241661602664555,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.9004558779622773
Transporte,0.19894134003311753,Productos farmacéuticos,0.03198615310328496,Productos farmacéuticos,0.00131904348936391,Servicios a empresas de todo tipo,0.0048155913148665895,Caza y pesca,0.010639929652922164,Hierro y acero,0.889769586344031
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.18101264967026687,Confecciones,0.023506700287919242,Bebidas,0.0013168872763697184,Productos fabricados de metal (excepto maquinarias y equipos),0.004759790273236457,Metales no ferrosos,0.010337635242346824,Metales no ferrosos,0.8074698899983906
Minería (no energía),0.1477303813165,Hierro y acero,0.02184341524126952,Hierro y acero,0.0008631688134597135,Transporte,0.004056776460475826,Minería (energía),0.009007230484047531,Minería (energía),0.7987620931701133
Caza y pesca,0.14502851957098245,Construcción,0.0185771852900479,Maquinarias y equipos (excluye maquinaria eléctrica),0.0007590426053989412,Finanzas y seguros,0.0036558060223919903,Equipo médico e instrumentos ópticos y de precisión,0.008715660031893425,Equipo médico e instrumentos ópticos y de precisión,0.6685517402241635
Productos químicos básicos,0.12153557074675413,Maquinarias y equipos (excluye maquinaria eléctrica),0.011478804656469171,Productos fabricados de metal (excepto maquinarias y equipos),0.0004605317603863208,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.003369839268579411,"Vehículos de motor, remolques y semirremolques",0.008254861251549462,"Vehículos de motor, remolques y semirremolques",0.6344600254041691
Equipo médico e instrumentos ópticos y de precisión,0.09166393321014245,Caza y pesca,0.00979225035496302,Construcción,0.00041532060543138526,Otros productos químicos (excluye farmacéuticos),0.003052474850198737,"Coque, petróleo refinado y combustible nuclear",0.007542989427558004,"Coque, petróleo refinado y combustible nuclear",0.6250581762484441
"Vehículos de motor, remolques y semirremolques",0.08622218415081434,"Vehículos de motor, remolques y semirremolques",0.006138614392942576,"Vehículos de motor, remolques y semirremolques",0.00035469503047012033,Equipo médico e instrumentos ópticos y de precisión,0.0017286332442291968,Otros productos químicos (excluye farmacéuticos),0.006964205073245752,Otros productos químicos (excluye farmacéuticos),0.5551818501232374
Maquinarias y aparatos eléctricos,0.06676794643857706,Productos fabricados de metal (excepto maquinarias y equipos),0.006112579911002776,Caza y pesca,0.0001951275645127177,"Vehículos de motor, remolques y semirremolques",0.0016276084775005736,Maquinarias y aparatos eléctricos,0.006375381516869762,Maquinarias y aparatos eléctricos,0.5009234454626824
Otro equipo de transporte,0.057887381491480254,Maquinarias y aparatos eléctricos,0.0026232196773848786,Maquinarias y aparatos eléctricos,0.00017605684892535044,Maquinarias y aparatos eléctricos,0.0012603725679072397,Maquinarias y equipos (excluye maquinaria eléctrica),0.004076276144808866,Maquinarias y equipos (excluye maquinaria eléctrica),0.33558920662229463
Otros productos químicos (excluye farmacéuticos),0.05275344488707697,Equipo médico e instrumentos ópticos y de precisión,0.0011568735539764475,Equipo médico e instrumentos ópticos y de precisión,7.649161753319896e-05,Otro equipo de transporte,0.0010927349357219224,Otro equipo de transporte,0.0,Aeronaves y naves espaciales,0.0
Maquinarias y equipos (excluye maquinaria eléctrica),0.04293280874984576,Otro equipo de transporte,0.0,Otro equipo de transporte,0.0,Maquinarias y equipos (excluye maquinaria eléctrica),0.0008096432028830435,Aeronaves y naves espaciales,0.0,Otro equipo de transporte,0.0
Equipos de oficina (incluye equipo computacional),0.0,Aeronaves y naves espaciales,0.0,Aeronaves y naves espaciales,0.0,Aeronaves y naves espaciales,0.0,Productos de tabaco,0.0,"Radio, televisión y equipos de telecomunicaciones",0.0
"Radio, televisión y equipos de telecomunicaciones",0.0,"Radio, televisión y equipos de telecomunicaciones",0.0,"Radio, televisión y equipos de telecomunicaciones",0.0,"Radio, televisión y equipos de telecomunicaciones",0.0,Equipos de oficina (incluye equipo computacional),0.0,Productos de tabaco,0.0
Aeronaves y naves espaciales,0.0,Equipos de oficina (incluye equipo computacional),0.0,Equipos de oficina (incluye equipo computacional),0.0,Equipos de oficina (incluye equipo computacional),0.0,"Radio, televisión y equipos de telecomunicaciones",0.0,Equipos de oficina (incluye equipo computacional),0.0
