In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
Otro equipo de transporte,0.4434471339650432,Maquinarias y equipos (excluye maquinaria eléctrica),0.1661275514252697,Confecciones,0.005980259244914804,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.014852373148921934,"Pulpa de madera, papel, imprentas y editoriales",0.007920338780971977,Productos minerales no metálicos,1.7950206225623269
Electricidad y gas,0.4382505115124109,Calzado,0.16405851937317997,Minería (energía),0.005962154092981596,Productos minerales no metálicos,0.014175366740746306,Correo y telecomunicaciones,0.007599226607029261,Textiles,1.7399535168609055
Correo y telecomunicaciones,0.4229526305218496,"Vehículos de motor, remolques y semirremolques",0.132078765562063,Maquinarias y equipos (excluye maquinaria eléctrica),0.00572666641285674,Calzado,0.014100749868788493,Carne y derivados,0.0075500856810870294,Minería (no energía),1.6452552633132669
"Vehículos de motor, remolques y semirremolques",0.4165382133448867,"Molinería, panadería y pastas",0.12672000067103273,"Radio, televisión y equipos de telecomunicaciones",0.004262543754578603,Maquinarias y equipos (excluye maquinaria eléctrica),0.013702551997547848,Productos farmacéuticos,0.007512836410042507,"Pulpa de madera, papel, imprentas y editoriales",1.604588083594958
"Coque, petróleo refinado y combustible nuclear",0.41208731593829057,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.11118942273974215,Otros productos químicos (excluye farmacéuticos),0.004259344580394788,Construcción,0.012637782791468955,Textiles,0.007005374489311762,Correo y telecomunicaciones,1.5845324720500722
Transporte,0.39648179210191875,Azúcar y productos de confitería,0.10925538878003158,"Vehículos de motor, remolques y semirremolques",0.004199464714575063,Finanzas y seguros,0.012421723825146419,Productos de tabaco,0.006373824998454874,Carne y derivados,1.4953808917195845
Finanzas y seguros,0.3290525640103955,Otros productos químicos (excluye farmacéuticos),0.10735341914442502,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.0034143209364399627,Servicios a empresas de todo tipo,0.011939678194704716,Aeronaves y naves espaciales,0.006154560936864466,Agricultura y forestal,1.46580431525976
Otros servicios,0.3214747109351707,Construcción,0.0972622017963572,Caza y pesca,0.0031600524570338305,Productos químicos básicos,0.011488027265798516,Finanzas y seguros,0.005063286518339503,Productos de caucho y plástico,1.4026024314699386
Equipo médico e instrumentos ópticos y de precisión,0.29559315629070354,Otro equipo de transporte,0.09151678888372854,Otro equipo de transporte,0.0030864365356356367,Minería (no energía),0.011103483571159494,Productos químicos básicos,0.004963058954022293,Equipo médico e instrumentos ópticos y de precisión,1.1550978434124195
Productos químicos básicos,0.2909182630182496,Caza y pesca,0.08989419202086499,Aeronaves y naves espaciales,0.002910447325120664,Electricidad y gas,0.009377025381935484,Minería (energía),0.004680873038989651,Finanzas y seguros,0.9938332467694039
Minería (no energía),0.2860850664944773,Maquinarias y aparatos eléctricos,0.07187486667813997,Bebidas,0.002512292507059064,Equipo médico e instrumentos ópticos y de precisión,0.008968474774985025,Otro equipo de transporte,0.004675253822717538,Productos químicos básicos,0.9192946097181598
Caza y pesca,0.26791571794283986,Bebidas,0.06011954231644473,Construcción,0.0020573405559794573,Metales no ferrosos,0.007305277886201996,"Coque, petróleo refinado y combustible nuclear",0.0046506464939855005,Minería (energía),0.8878386439523237
Agricultura y forestal,0.263677030919598,Productos farmacéuticos,0.037753208216679573,Maquinarias y aparatos eléctricos,0.0019647206020902428,Caza y pesca,0.00565744308867904,Equipo médico e instrumentos ópticos y de precisión,0.004354440231905605,"Coque, petróleo refinado y combustible nuclear",0.7746561479918505
Servicios a empresas de todo tipo,0.24665975563857725,Equipo médico e instrumentos ópticos y de precisión,0.028810404321431133,Productos farmacéuticos,0.0019536337730909413,Minería (energía),0.0043857421914028,Servicios a empresas de todo tipo,0.00425292835988902,Servicios a empresas de todo tipo,0.690255844080239
Metales no ferrosos,0.21759099060860457,Aeronaves y naves espaciales,0.028654375911256413,Equipo médico e instrumentos ópticos y de precisión,0.0007240842230229651,"Coque, petróleo refinado y combustible nuclear",0.003724659495302488,Metales no ferrosos,0.00183102722211462,Metales no ferrosos,0.40904287475091833
Minería (energía),0.19672995497441337,Productos de tabaco,0.0032708585775790273,Productos de tabaco,0.00023987191351733758,Equipos de oficina (incluye equipo computacional),0.0023130013867193175,"Radio, televisión y equipos de telecomunicaciones",0.0009426316752365855,"Radio, televisión y equipos de telecomunicaciones",0.2822232651159581
"Radio, televisión y equipos de telecomunicaciones",0.08459399422917292,Equipos de oficina (incluye equipo computacional),0.0,Equipos de oficina (incluye equipo computacional),0.0,"Radio, televisión y equipos de telecomunicaciones",0.0017904167218968175,Equipos de oficina (incluye equipo computacional),0.0,Equipos de oficina (incluye equipo computacional),0.0
