Agricultura y forestal,Caza y pesca,Minería (energía),Minería (no energía),Carne y derivados,"Molinería, panadería y pastas",Azúcar y productos de confitería,Otros productos alimenticios,Bebidas,Productos de tabaco,Textiles,Confecciones,Calzado,Madera y productos de madera y corcho,"Pulpa de madera, papel, imprentas y editoriales","Coque, petróleo refinado y combustible nuclear",Productos químicos básicos,Otros productos químicos (excluye farmacéuticos),Productos farmacéuticos,Productos de caucho y plástico,Productos minerales no metálicos,Hierro y acero,Metales no ferrosos,Productos fabricados de metal (excepto maquinarias y equipos),Maquinarias y equipos (excluye maquinaria eléctrica),Equipos de oficina (incluye equipo computacional),Maquinarias y aparatos eléctricos,"Radio, televisión y equipos de telecomunicaciones",Equipo médico e instrumentos ópticos y de precisión,"Vehículos de motor, remolques y semirremolques",Aeronaves y naves espaciales,Otro equipo de transporte,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),Electricidad y gas,Construcción,Transporte,Correo y telecomunicaciones,Finanzas y seguros,Servicios a empresas de todo tipo,Otros servicios
0.10068458819240568,0.0,8.18210922958092e-06,0.03390326986675629,0.47186705766199355,0.3096935846304028,0.24369038590050046,0.12600841283984993,0.19587524360196676,0.20907455348778653,0.06812414912289758,0.0,0.06878932815558367,0.14589364087401763,1.068564042289524e-05,0.0,1.6815132885717783e-08,0.02055216230879017,0.013419570992898975,0.0033083382823777953,2.078316227086683e-06,0.0,0.0,3.253189058492832e-11,2.332265558226089e-11,5.256121216756164e-06,6.6714806280606535e-06,5.8197182962395975e-06,6.645695284720831e-06,3.406261294525874e-05,3.404989767019879e-05,3.4049897187142307e-05,0.002495697806108742,0.0,0.02247513291988858,0.0,0.0,9.612557196489242e-07,0.0,0.0016213215680695606
0.0,0.06495576634388996,0.0,0.0,0.0,0.0,0.0,0.17751035097381831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003724060130534685
0.0,0.0,0.13583690930901535,0.0,2.6499674349698417e-23,5.055233785869854e-09,1.4082320754252994e-21,7.79431590394752e-10,0.0,0.0,0.0,0.0,0.0,6.0292180711012134e-09,2.1908426116304974e-06,0.22674596410872844,1.2751931157253312e-17,8.367802334897454e-05,0.0,0.0,2.2317889307425284e-06,6.563880485087162e-05,0.0,0.0,0.0,0.0022780708280496042,0.0028915058789409755,0.002522341082214942,0.00288033017807116,0.0,0.0,0.0,5.242939707674257e-08,0.016839267809815345,0.0,0.0008888208398766716,0.0,5.946009006432244e-10,0.0,6.318140716803787e-10
0.0,0.0,0.0,0.0,4.6854522230842766e-15,9.342071782751692e-15,2.489918940643562e-13,3.595393852904212e-10,0.0,0.0,4.73939480818063e-07,0.0,0.0,1.7169527986046662e-06,1.0932830131927655e-06,0.0,2.2546905067929647e-09,0.0,0.0,7.974655328604364e-06,0.028647978553516435,0.0,0.4816028918535112,6.267539655319731e-10,4.4933038351268107e-10,0.0,0.0,0.0,0.0,0.0001385322229083233,0.0001384805100429201,0.00013848050807833596,1.4991123591256945e-05,0.0,0.007814112566413452,0.0,0.0,3.765267449197198e-09,0.0,9.417392195216082e-08
0.0,0.0,0.0,0.0,0.06188333723651636,0.00016040827016167497,0.0,0.010232337550638003,0.0,0.0,2.0112316817798454e-07,0.0,0.020196263298228895,1.9401603967514314e-12,0.0,0.0,0.0,0.001032965557125843,0.0,1.1307349691028944e-07,3.3250117141377814e-09,3.909538407021064e-10,1.5002995815706874e-10,0.0,0.0,2.894471026616522e-07,3.673889278083386e-07,3.2048359040558857e-07,3.659689657083231e-07,4.6060952749401755e-06,4.6043758599193875e-06,4.604375794598215e-06,0.00408113187531548,0.0,0.0,0.0,0.0,0.0,0.0,0.005771258061731486
3.52378341998167e-05,0.0,1.0594298156225934e-06,0.0,0.005852438871868203,0.08538514296155242,0.00043563324909098763,0.0029472707201090315,0.006705922502636349,0.0,8.921407067998186e-10,0.0,0.0,0.0016012191060224132,7.093290603223078e-06,0.0,0.00016219750126496735,4.5337733328965406e-05,0.0,4.278182705668013e-10,3.217640122731921e-09,3.844586835072968e-12,1.4753741796252602e-12,1.129578170654191e-08,8.098134523916437e-09,7.288370287998467e-09,9.250970284224802e-09,8.069878940310526e-09,9.215215186023205e-09,7.27696246380149e-08,7.274246037453526e-08,7.27424593425555e-08,1.8644778317755915e-06,0.0,0.0,0.0,0.0,1.411742360855394e-07,0.0,0.0021119473366677
5.610246050486275e-05,0.00040019417155758247,0.0,0.0,1.5484615835727932e-08,0.014560114400887217,0.14500292236538517,0.002750430264154944,0.037955779103460575,0.0,1.9638741150313865e-09,0.0,0.0,4.2162492837009636e-17,3.174202790525373e-11,0.0,7.262299977021014e-16,0.0025213693326387584,0.0,2.0109541546883238e-06,1.2869192104534412e-08,8.495992669370927e-15,3.2603680843737384e-15,1.5855513985423768e-10,1.1367082733675495e-10,6.888452041875572e-12,8.743362730709815e-12,7.627078738796704e-12,8.709569541082788e-12,4.462087174327057e-11,4.4604215162688316e-11,4.4604214529899057e-11,6.230624542223921e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0004462161564234028
0.023634796679808515,0.0613081049340256,8.241745637454618e-06,0.0,0.006353793312440687,0.02386545507534393,0.002670715245921175,0.08006592385353109,0.0003125780867016921,0.0,2.734599299454805e-09,7.78162529909694e-06,0.0,8.458119133452985e-07,1.9763398286054464e-09,0.00017885059771969382,5.434952265218296e-06,0.0019286599691133392,0.0,1.7660265432494077e-06,6.011453032809156e-05,4.657406010629646e-12,1.7872964942366955e-12,1.4553910870278428e-10,1.0433941726082277e-10,3.776170849117106e-09,4.793011734168024e-09,4.181077580605912e-09,4.774486693013279e-09,2.4460653026387493e-08,2.44515220788665e-08,2.445152173197864e-08,2.8119055739059705e-13,4.406922867532868e-12,0.0,5.541337193430042e-05,2.0649573727325493e-05,5.846425906173062e-07,0.0,0.007198284350396341
0.0,0.0,0.0,0.0,3.9106469875968336e-06,1.9286857878549515e-06,3.5931423921849636e-06,7.07829726963486e-05,0.013371916084088636,0.0,1.3501023512022248e-09,0.0,0.0,4.1171239160098566e-15,0.0,0.0,1.3100891547650628e-10,0.003354580083312736,0.00213475753256131,1.0315423550126458e-06,2.0142787948870794e-08,8.296249167365979e-13,3.183715789069182e-13,8.143905762801912e-11,5.8385020293968e-11,6.726503484123392e-10,8.537804939854224e-10,7.447764954785204e-10,8.504806233267611e-10,4.357182835408533e-09,4.355556337221155e-09,4.355556275429926e-09,3.532497973917109e-13,0.0,0.0,0.0,0.0,0.0,4.305215122461477e-05,0.0018530116468662393
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.328871773037959e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
