Agricultura y forestal,Caza y pesca,Minería (energía),Minería (no energía),Carne y derivados,"Molinería, panadería y pastas",Azúcar y productos de confitería,Otros productos alimenticios,Bebidas,Productos de tabaco,Textiles,Confecciones,Calzado,Madera y productos de madera y corcho,"Pulpa de madera, papel, imprentas y editoriales","Coque, petróleo refinado y combustible nuclear",Productos químicos básicos,Otros productos químicos (excluye farmacéuticos),Productos farmacéuticos,Productos de caucho y plástico,Productos minerales no metálicos,Hierro y acero,Metales no ferrosos,Productos fabricados de metal (excepto maquinarias y equipos),Maquinarias y equipos (excluye maquinaria eléctrica),Equipos de oficina (incluye equipo computacional),Maquinarias y aparatos eléctricos,"Radio, televisión y equipos de telecomunicaciones",Equipo médico e instrumentos ópticos y de precisión,"Vehículos de motor, remolques y semirremolques",Aeronaves y naves espaciales,Otro equipo de transporte,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),Electricidad y gas,Construcción,Transporte,Correo y telecomunicaciones,Finanzas y seguros,Servicios a empresas de todo tipo,Otros servicios
0.03517395436249495,0.0,0.0,0.0002680957911341497,0.6130987616363616,0.305289908689102,0.01488767891693699,0.21216180060736242,0.19077419578514848,0.0012203951892027975,0.11943966221363685,0.008740911077809208,0.018119862808143497,0.13015677724223654,0.012879079608815954,1.6211066637554566e-07,0.0006653880274945537,0.00045741636278697216,0.0020297103515857493,0.008319510026412617,0.01040714808537874,0.00026543701406836517,0.00026771657721945413,0.00038154267802918717,0.0003010962475113158,0.0004690898907247683,0.00034889479055122446,3.1331301291222435e-05,0.00031020129294089297,3.1577918587885216e-07,0.0,2.691500320421762e-07,0.0015911960108040061,0.0,2.838838230011146e-05,0.0023309853359122436,2.7876824330812657e-08,0.0,0.00033852918426063725,0.002753774855319631
0.0,0.0,0.0,0.0,0.0005832802159490634,1.9996125641157678e-05,2.859052381044252e-09,0.04709205536467017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3651173888888035e-09,5.411192816401818e-09,7.711890761287593e-09,6.0858758486337904e-09,9.48142947777137e-09,7.0519988112772325e-09,6.332805918724148e-10,6.269910610071629e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.00040423481515913107,0.0,0.0,0.0,9.389377169358168e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.025239778889000575,2.9922876952487613e-05,0.00018108444800093263,5.3206788166277976e-05,8.657435821974983e-05,0.0009564526428288382,0.0,0.000639397131073317,2.1803063411360026e-05,0.0020882115865096407,1.3498186190566549e-05,0.0022260080397523358,4.85013844657045e-06,0.008076337231158814,0.008246170558432376,0.0006171703518141189,0.000876447984864163,0.11408504942075162,0.0004356241846875883,0.00043936530889598967,0.0006261719701125596,0.0004941466351065378,0.000769850813419476,0.0005725916154123039,5.141962822364703e-05,0.0005090894568743452,0.00023824078882194174,0.0,0.00020306124916598937,0.001022520020016905,2.4518965972902424e-05,0.007057799402319012,8.498701851251614e-05,0.0,0.0,3.7173958624585384e-05,6.903215394500834e-05
0.0,0.007172953962351681,0.0,0.0,0.04207552875841241,0.021750566068405686,0.0001336199431864609,0.004107585404053175,0.0,0.0,2.1816149701343555e-05,0.0038640541808694718,0.17367785939223462,5.000105325391031e-06,7.252659483209709e-08,2.4615830337030797e-06,0.00388315662996067,0.004084185881171129,0.003657659252529172,4.070370386301422e-06,5.912978075319712e-09,1.4832724836741121e-05,1.496010772298599e-05,2.132075504444533e-05,1.6825376838967724e-05,2.621292775326749e-05,1.949637824017245e-05,1.7508054498763373e-06,1.7334170361818674e-05,0.0,0.0,0.0,0.00011820434922675008,0.0,0.0,0.0002734541776145665,8.723008036465199e-08,0.0,0.00013495816544714743,0.007084922979270436
0.002981600520392307,0.0037178186645824875,0.0,2.2758682327767043e-05,0.0001670887722376785,0.07135626614708719,0.00016041898480963104,0.002834944564606177,0.002752206042736452,0.0,0.0,0.0,0.0,5.181116478237782e-05,0.0,9.67576545976491e-09,3.230775262654601e-05,2.3908472305129602e-05,1.536072527535422e-07,4.919531541745845e-08,0.0008833957231859037,2.079418307180832e-05,2.0972762738453098e-05,2.9889834032730294e-05,2.358770691781529e-05,3.6748232340924015e-05,2.7332217298276874e-05,2.4544761295420156e-06,2.430099094191615e-05,0.0,0.0,0.0,2.7412626382790225e-06,0.0,0.0,0.0002146610148986399,1.1349956303747984e-07,3.825168559964993e-05,3.343213387597243e-05,0.004184205560972244
0.0,0.002152947102836316,0.0,0.0,6.23990879380045e-05,0.0023582833026805543,0.0022193599262457435,0.001430472632834829,0.006122457095050998,0.0,0.0,0.0,2.2201288683949685e-09,2.0801386985434292e-07,0.0,1.2392053844715481e-07,0.0001954848471174324,0.0002056050082458777,0.00011820662858170403,8.976378543077491e-08,1.2102381861049568e-07,4.977854022572597e-06,5.020603646777622e-06,7.1552332717311e-06,5.646586901665367e-06,8.797043651533867e-06,6.542973453404184e-06,5.875693136180496e-07,5.817337718677233e-06,2.201120683611818e-08,0.0,1.876094844167793e-08,8.49055473016185e-09,0.0,0.0,4.992366904431503e-06,8.347184547978928e-10,8.135566072386188e-06,2.549180804227039e-06,0.00018228272443912907
0.022929086518659075,0.018995879902585125,0.0,0.0,0.001369950598897365,0.047172772833177806,0.019306913100333587,0.046925945926188706,0.0564558375234292,0.0,0.0,2.108057488543852e-07,5.5546683986484374e-05,6.319510462913642e-06,0.0023475470134162266,3.765116195178177e-06,0.0059394844477920926,0.006246968853024146,0.004615241611834072,2.8292276022202825e-05,1.3647964080885439e-06,0.00012866101988542026,0.00012976595591305667,0.00018493905327162316,0.00014594554728716646,0.00022737440733508447,0.00016911416722563448,1.5186718373140564e-05,0.00015035888969603992,5.834040119145261e-07,0.0,4.972563598937467e-07,1.0630481350575028e-06,0.0,0.0,0.000320797072694852,7.068498547712396e-08,6.720257593443466e-05,6.939687641611391e-05,0.005008370250637844
0.0,0.00457674051063468,0.0,0.0,0.0,0.0006183939183662098,0.00043666367455771806,0.00019942509572114806,0.018049513580121333,0.0,9.666268803737499e-06,6.405665481296033e-09,1.801448920031701e-08,2.21448821326931e-07,0.0007896790897873749,1.3159329997339044e-07,0.00020701922565537654,0.00021773651925654342,0.00011072536400485967,7.680628617661848e-05,1.6340145238938882e-07,3.330560969010711e-05,3.3591637020698524e-05,4.7873924287310006e-05,3.7779938619204176e-05,5.8858877933393476e-05,4.3777442862651544e-05,3.931283267147964e-06,3.892239077627378e-05,1.7860253676258788e-07,0.0,1.5222940789677872e-07,3.9639745443294067e-07,0.0,0.0,3.609347244412071e-05,0.0,8.444572898267747e-05,0.00010302684890415571,0.008254702684796509
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0003594004403113242,0.01003199753352079,0.0,1.2130506684300723e-05,6.039217958542571e-06,0.00010680021298508516,0.0004523123633209607,0.0003361612963637397,6.0226928235888174e-05,0.0038923090797920237,0.04482143592308509,0.1311385475385455,0.009164592667391246,0.000627163166774956,0.00656333693685868,5.461001879994264e-07,0.0014945835805663698,0.0011679046043371858,0.0015581778415298042,0.013413860978421373,0.00047231317657104655,0.00040940559025902487,0.00041292155015889095,0.0005884850153841651,0.0004644057927256483,0.0007235163651564152,0.0005381294623331381,4.832487263969753e-05,0.0004784492618006545,0.0004502469703784911,0.0,0.0003837617928078245,0.005010365330427478,3.2976618239563836e-05,6.331689137526947e-09,6.792074295383758e-05,7.407357123460814e-05,0.00024250089938728187,0.00040770392879897543,0.0006973221117310935
0.0,0.0,0.0,0.00027413691065668766,0.000642221804112762,0.0008547781675896157,0.00011259620881522251,0.00043217601456155025,0.0005777658083227383,8.385233856471935e-08,0.000753847088885733,0.06964581498206844,0.0019870534988120814,0.00045485375089859793,0.002022981422050967,4.932334301092681e-07,0.00032517125640844625,0.00033034722345416255,0.0008974580021762953,0.0005380061017850357,0.0005645833609566541,0.0004312447093310133,0.00043494822276881966,0.0006198768542570159,0.0004891788140188839,0.0007621112461867089,0.0005668351607497211,5.090268953527956e-05,0.0005039714106109791,0.0006493028425081309,0.0,0.000553424318894741,0.0005592403278243,0.00026873917012122477,0.0005383774926070873,0.0006826372584167984,0.0005207105475422001,0.00016609013567860594,0.003314225982219102,0.0013523611717557765
0.0,0.0,0.0,0.0,6.034671835386219e-07,1.9806734365686732e-10,4.1965840010992355e-07,1.4760213598261623e-07,0.0,0.0,0.00018558226939514503,0.027272324872815685,0.052612962959842725,7.638791558314028e-05,0.00013059431835539645,2.0775140966858308e-08,3.660305677387119e-09,3.855472753260932e-09,1.6168490121658382e-05,0.0003580620476891416,2.231332650287645e-07,7.248042596982865e-05,7.310288515773031e-05,0.00010418432382645119,8.221756243805707e-05,0.00012809003001033715,9.52694676986291e-05,8.555348136910916e-06,8.470379282882122e-05,3.248090948794123e-07,0.0,2.7684655038639385e-07,0.010362340078712704,0.00036469244940497126,8.518859527634344e-07,6.837584372173379e-06,6.295757689565365e-09,1.93395522416711e-06,2.9953650945147556e-05,9.417057338230912e-05
0.0019178383295678423,0.0,0.0,0.0020954368024463906,4.2342970323384935e-06,0.0006321786751393842,3.273023639974325e-05,0.0006522681787083891,0.0008020524779173276,0.0,0.0011902909559224645,0.00010026187878639605,0.0022601549433604665,0.05981961946921181,0.008475471949977135,7.635738006401996e-08,0.00011596341437636954,0.00012196709771380944,0.0003829087117058348,0.0038247434850797474,0.0027409131992901813,0.0008357944554417164,0.0008429722269714214,0.001201382014977933,0.0009480764207189654,0.0014770461879538197,0.0010985820214211258,9.865439450065889e-05,0.0009767459207632387,0.0049977379362290296,0.0,0.004259752972415676,0.09991339495229114,3.0467741390496e-06,0.012829133826245563,0.000754057617815518,3.3111858325699134e-06,9.2219831284387e-06,0.0009182664375129512,0.001467036165786953
0.0015978709536284687,0.0,0.0,0.0005536961928792784,0.006299509835333826,0.004869689585168448,0.002549641554830556,0.007657571929359608,0.008225404732553692,0.06796804430221065,0.0005943512642660307,0.0041679988056417495,0.0018838851888392759,0.0008912553939576616,0.10524395411012741,0.0002909031410109602,0.005452008241833851,0.0057194792814965695,0.015328178874917926,0.0014107222279503807,0.007584883678810128,0.003050810889932859,0.003077011139773828,0.004385275961572521,0.0034606617093306184,0.005391503336501331,0.004010036166924223,0.0003601075588893343,0.0035653109115053047,0.0012426761107259085,0.0,0.0010591778368452761,0.003925536557578786,0.0023053237853734162,4.016775280503643e-05,0.0041516058882722666,0.014311221704903631,0.00968973557257241,0.023006654187821916,0.008280081552672472
