Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Madera y productos de madera y corcho,5412.421893279658,Calzado,5485.951489420444,Textiles,13905.684570784357,Otro equipo de transporte,932.7720103270524,Textiles,1572.923516712031,Productos farmacéuticos,5513.662330627441
Carne y derivados,5387.364395333551,Minería (energía),4814.739795358607,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),13515.445310032528,Textiles,783.767930003059,Confecciones,1529.5708655328156,Productos químicos básicos,5369.118103027344
Productos farmacéuticos,4373.151364607295,Equipos de oficina (incluye equipo computacional),4659.8748133314375,Productos minerales no metálicos,13193.805663987569,Aeronaves y naves espaciales,699.8714146966947,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),1520.008010595087,Productos minerales no metálicos,5138.270904541016
Azúcar y productos de confitería,4137.775278508051,Textiles,4355.8984653785055,Productos farmacéuticos,11179.345705352178,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),613.2340383329919,Calzado,1494.8249078718495,Madera y productos de madera y corcho,3297.6655654907227
Metales no ferrosos,3952.513955800196,Aeronaves y naves espaciales,4172.248140445645,Bebidas,11070.900387723636,Carne y derivados,598.2096111302764,Productos de caucho y plástico,1451.792727307109,Metales no ferrosos,2627.982360839844
Correo y telecomunicaciones,3705.6358449720665,Bebidas,4160.778779935267,Azúcar y productos de confitería,10032.041014088334,Equipo médico e instrumentos ópticos y de precisión,583.9847346803119,Productos fabricados de metal (excepto maquinarias y equipos),1018.6080964142604,"Radio, televisión y equipos de telecomunicaciones",2594.348373413086
Confecciones,3152.72753162997,Metales no ferrosos,3855.98111961028,Madera y productos de madera y corcho,8176.142090610212,Confecciones,567.7514906881255,Otro equipo de transporte,938.2170916907512,Bebidas,2587.3782653808594
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),2520.128168747946,Productos de tabaco,3763.9664201114097,Metales no ferrosos,7808.495075410476,Productos minerales no metálicos,541.3423341430934,Finanzas y seguros,694.893365479959,Azúcar y productos de confitería,2404.786437988281
Otro equipo de transporte,2403.980441587249,Otro equipo de transporte,3722.09914592245,Otro equipo de transporte,6126.079587509699,Minería (no energía),503.9616883195905,Productos farmacéuticos,555.2086937633212,Equipo médico e instrumentos ópticos y de precisión,2264.150104522705
"Radio, televisión y equipos de telecomunicaciones",1749.0962816299698,Equipo médico e instrumentos ópticos y de precisión,2984.7188621274618,Calzado,5967.384277376408,Calzado,271.31151673378207,Equipo médico e instrumentos ópticos y de precisión,537.1985140382831,Correo y telecomunicaciones,2224.0206623077397
"Molinería, panadería y pastas",1566.2997317614202,Madera y productos de madera y corcho,2763.7201973305528,Equipos de oficina (incluye equipo computacional),4774.89288431402,Bebidas,258.6985583396539,Equipos de oficina (incluye equipo computacional),466.4520495459675,Calzado,1934.6155319213867
Equipo médico e instrumentos ópticos y de precisión,1348.176143608281,Productos químicos básicos,2301.5946523381235,Aeronaves y naves espaciales,4596.479979913275,Azúcar y productos de confitería,230.6926765784546,Construcción,385.9336103147944,Otro equipo de transporte,1576.3881874084473
Calzado,481.4327879559645,Productos minerales no metálicos,2003.7787904252968,Equipo médico e instrumentos ópticos y de precisión,4332.895005735743,Madera y productos de madera y corcho,133.9260635178064,Bebidas,211.64274026202665,Aeronaves y naves espaciales,1182.7850456237793
Aeronaves y naves espaciales,424.23183946763066,Productos de caucho y plástico,1817.6965144842648,Correo y telecomunicaciones,4143.121618789803,Correo y telecomunicaciones,91.81772170679982,Electricidad y gas,44.691460427464335,Equipos de oficina (incluye equipo computacional),1022.6775093078612
Caza y pesca,321.6398229543214,"Molinería, panadería y pastas",1250.4107164184304,Productos de tabaco,3957.0324717052313,"Molinería, panadería y pastas",66.03058809785284,Caza y pesca,32.05198388204299,Productos de tabaco,911.8743705749512
Productos de tabaco,193.0660515938218,Caza y pesca,909.4643025218586,"Molinería, panadería y pastas",2816.7104481798506,Productos de tabaco,51.221303033488496,Correo y telecomunicaciones,13.43082098517003,"Molinería, panadería y pastas",648.915433883667
Equipos de oficina (incluye equipo computacional),115.01807098258296,Correo y telecomunicaciones,437.48577381773634,Caza y pesca,1231.10412547618,Caza y pesca,11.53699110353075,"Molinería, panadería y pastas",4.189802665424326,Caza y pesca,643.8793535232544
