Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Construcción,33.336003719446005,Productos fabricados de metal (excepto maquinarias y equipos),83.22872210278089,Azúcar y productos de confitería,163.07591579695628,"Coque, petróleo refinado y combustible nuclear",4.510216450423276,Metales no ferrosos,4.753315372211239,Otros productos químicos (excluye farmacéuticos),60.32190364599228
Calzado,33.03850584980243,Productos químicos básicos,73.0472199716855,Calzado,121.90385884057036,Metales no ferrosos,3.5205610153275333,"Pulpa de madera, papel, imprentas y editoriales",4.178508547499888,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),58.20713138580322
Otros productos químicos (excluye farmacéuticos),28.74742318744769,Otros productos químicos (excluye farmacéuticos),59.57417823862015,Productos químicos básicos,108.12515776205996,Productos fabricados de metal (excepto maquinarias y equipos),3.293851486363544,Productos minerales no metálicos,3.219788859672342,Minería (no energía),44.92107248306274
Metales no ferrosos,8.367772513734353,Minería (no energía),51.3489233958118,Productos fabricados de metal (excepto maquinarias y equipos),90.35925805462225,Finanzas y seguros,2.4217998617859235,Finanzas y seguros,2.429696490949937,Azúcar y productos de confitería,38.839905738830566
Minería (no energía),7.340611896395884,Finanzas y seguros,48.41452907393618,Otros productos químicos (excluye farmacéuticos),88.32160142606783,Minería (no energía),1.74278984966049,Otros servicios,1.870986903677476,"Molinería, panadería y pastas",38.358917236328125
Productos fabricados de metal (excepto maquinarias y equipos),7.13053595184134,Productos minerales no metálicos,27.21689479315136,Minería (no energía),58.68953529220769,"Radio, televisión y equipos de telecomunicaciones",1.731718122672742,Minería (no energía),1.548565359422355,Calzado,35.12677383422852
Otro equipo de transporte,6.366652825419057,"Radio, televisión y equipos de telecomunicaciones",27.173313842971965,"Radio, televisión y equipos de telecomunicaciones",29.91139550532612,Maquinarias y aparatos eléctricos,1.1926338188857604,"Molinería, panadería y pastas",0.5808759231103586,"Radio, televisión y equipos de telecomunicaciones",23.57701528072357
"Radio, televisión y equipos de telecomunicaciones",2.7380816623541566,Maquinarias y aparatos eléctricos,19.810172504154657,Maquinarias y aparatos eléctricos,20.66184803087551,Calzado,1.0826547536276427,"Coque, petróleo refinado y combustible nuclear",0.5009730220311153,Maquinarias y aparatos eléctricos,16.28515362739563
Caza y pesca,2.7178590340818523,Equipos de oficina (incluye equipo computacional),12.229001940659098,Metales no ferrosos,20.4841174156869,Equipos de oficina (incluye equipo computacional),0.7689138174759369,Correo y telecomunicaciones,0.3917185158643406,Metales no ferrosos,14.276313185691832
Equipos de oficina (incluye equipo computacional),1.030177617955767,Metales no ferrosos,12.116344901952548,Equipos de oficina (incluye equipo computacional),13.259179558614864,Caza y pesca,0.2709548465226226,Caza y pesca,0.097421040665381,Equipos de oficina (incluye equipo computacional),10.451664507389069
Maquinarias y aparatos eléctricos,0.8516755267208526,Caza y pesca,7.377421721628496,Caza y pesca,10.095280755710348,Aeronaves y naves espaciales,0.0,"Vehículos de motor, remolques y semirremolques",0.0434167217675073,Caza y pesca,5.681015968322754
Equipo médico e instrumentos ópticos y de precisión,0.0,"Vehículos de motor, remolques y semirremolques",0.0,Equipo médico e instrumentos ópticos y de precisión,0.0,"Vehículos de motor, remolques y semirremolques",0.0,Equipo médico e instrumentos ópticos y de precisión,0.006241574580306,Aeronaves y naves espaciales,0.0
Aeronaves y naves espaciales,0.0,Aeronaves y naves espaciales,0.0,"Vehículos de motor, remolques y semirremolques",0.0,Equipo médico e instrumentos ópticos y de precisión,0.0,Aeronaves y naves espaciales,0.0,"Vehículos de motor, remolques y semirremolques",0.0
"Vehículos de motor, remolques y semirremolques",0.0,Equipo médico e instrumentos ópticos y de precisión,0.0,Aeronaves y naves espaciales,0.0,"Molinería, panadería y pastas",0.0,Construcción,0.0,Equipo médico e instrumentos ópticos y de precisión,0.0
Minería (energía),0.0,Minería (energía),0.0,Minería (energía),0.0,Minería (energía),0.0,Minería (energía),0.0,Minería (energía),0.0
