Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Productos químicos básicos,16.175652948168047,Productos fabricados de metal (excepto maquinarias y equipos),35.00375335894106,Productos de caucho y plástico,70.12335961317402,Carne y derivados,6.373496109587196,Productos farmacéuticos,2.6217916597010698,Maquinarias y equipos (excluye maquinaria eléctrica),38.742074370384216
Hierro y acero,12.263024745331938,Productos minerales no metálicos,34.91895300326851,Maquinarias y equipos (excluye maquinaria eléctrica),42.716622764427385,Metales no ferrosos,6.114452472231404,Carne y derivados,2.5761028764665355,Productos químicos básicos,27.640838280320168
Confecciones,10.38181117223164,Productos farmacéuticos,30.211023414553807,Productos farmacéuticos,40.2350831263821,Azúcar y productos de confitería,5.441545340378356,"Pulpa de madera, papel, imprentas y editoriales",2.237001418259321,Productos de caucho y plástico,26.49885681271553
Productos farmacéuticos,10.024059711828292,"Vehículos de motor, remolques y semirremolques",28.27091713254847,Productos químicos básicos,38.23640145671097,Productos químicos básicos,4.249664715466599,Productos fabricados de metal (excepto maquinarias y equipos),2.1552815574290958,"Vehículos de motor, remolques y semirremolques",26.13630704581737
Maquinarias y equipos (excluye maquinaria eléctrica),4.681428684595238,Productos de tabaco,27.60092889836197,Productos fabricados de metal (excepto maquinarias y equipos),36.53832021390731,"Vehículos de motor, remolques y semirremolques",2.507306571145508,Hierro y acero,1.8899568812289516,Productos farmacéuticos,19.84590558707714
Productos de tabaco,4.303632303918167,Productos químicos básicos,22.06074850854292,"Vehículos de motor, remolques y semirremolques",32.14251637835508,Productos de tabaco,1.908249376928794,Maquinarias y aparatos eléctricos,0.7934841689185661,"Radio, televisión y equipos de telecomunicaciones",18.494571685791016
"Vehículos de motor, remolques y semirremolques",3.871599245806605,Productos de caucho y plástico,19.286933523268974,Productos de tabaco,31.90456120228013,Maquinarias y equipos (excluye maquinaria eléctrica),1.662517351732951,"Vehículos de motor, remolques y semirremolques",0.6906280634900046,Productos de tabaco,18.034337144345045
Productos fabricados de metal (excepto maquinarias y equipos),1.534566854966247,"Radio, televisión y equipos de telecomunicaciones",18.494571685791016,Hierro y acero,20.8594688693215,Maquinarias y aparatos eléctricos,1.0980124568546774,Productos de tabaco,0.492022440581934,Productos fabricados de metal (excepto maquinarias y equipos),16.551964983344078
Caza y pesca,1.418931253829463,Maquinarias y aparatos eléctricos,17.05271185803348,"Radio, televisión y equipos de telecomunicaciones",18.494571685791016,Hierro y acero,0.743887391936271,Equipo médico e instrumentos ópticos y de precisión,0.4304704834641558,Maquinarias y aparatos eléctricos,15.54708544909954
Maquinarias y aparatos eléctricos,1.1246433301567078,Hierro y acero,8.596444123989562,Maquinarias y aparatos eléctricos,18.177355188190184,Equipo médico e instrumentos ópticos y de precisión,0.5699046248929645,Electricidad y gas,0.1699934899806976,Equipos de oficina (incluye equipo computacional),5.627540588378906
Equipo médico e instrumentos ópticos y de precisión,0.6034241525255015,Equipo médico e instrumentos ópticos y de precisión,6.254990143053349,Equipo médico e instrumentos ópticos y de precisión,6.858414295578851,Otro equipo de transporte,0.0811102783104337,Equipos de oficina (incluye equipo computacional),0.1248428107337453,Equipo médico e instrumentos ópticos y de precisión,5.495954230427742
Aeronaves y naves espaciales,0.0,Equipos de oficina (incluye equipo computacional),5.627540588378906,Equipos de oficina (incluye equipo computacional),5.627540588378906,Caza y pesca,0.0789900027621388,"Radio, televisión y equipos de telecomunicaciones",0.1220473397409305,Hierro y acero,5.434926941990852
"Radio, televisión y equipos de telecomunicaciones",0.0,Otro equipo de transporte,1.5487574979720042,Caza y pesca,1.6670960238796353,"Radio, televisión y equipos de telecomunicaciones",0.0,Otro equipo de transporte,0.0229472759274166,Otro equipo de transporte,1.3544592410326004
Equipos de oficina (incluye equipo computacional),0.0,Caza y pesca,0.2481647700501724,Otro equipo de transporte,1.5487574979720042,Aeronaves y naves espaciales,0.0,Caza y pesca,0.009655050933361,Caza y pesca,1.23839239962399
Otro equipo de transporte,0.0,Aeronaves y naves espaciales,0.0,Aeronaves y naves espaciales,0.0,Equipos de oficina (incluye equipo computacional),0.0,Aeronaves y naves espaciales,0.0,Aeronaves y naves espaciales,0.0
