Sector,Agricultura y forestal,Caza y pesca,Minería (energía),Minería (no energía),Carne y derivados,"Molinería, panadería y pastas",Azúcar y productos de confitería,Otros productos alimenticios,Bebidas,Productos de tabaco,Textiles,Confecciones,Calzado,Madera y productos de madera y corcho,"Pulpa de madera, papel, imprentas y editoriales","Coque, petróleo refinado y combustible nuclear",Productos químicos básicos,Otros productos químicos (excluye farmacéuticos),Productos farmacéuticos,Productos de caucho y plástico,Productos minerales no metálicos,Hierro y acero,Metales no ferrosos,Productos fabricados de metal (excepto maquinarias y equipos),Maquinarias y equipos (excluye maquinaria eléctrica),Equipos de oficina (incluye equipo computacional),Maquinarias y aparatos eléctricos,"Radio, televisión y equipos de telecomunicaciones",Equipo médico e instrumentos ópticos y de precisión,"Vehículos de motor, remolques y semirremolques",Aeronaves y naves espaciales,Otro equipo de transporte,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),Electricidad y gas,Construcción,Transporte,Correo y telecomunicaciones,Finanzas y seguros,Servicios a empresas de todo tipo,Otros servicios,DI,X,Consumo,FBK,Ajuste Preliminar,DT a PB
Calzado,0.48,0.01,0.54,5.43,0.02,0.05,0.02,0.1,0.08,0.0,0.63,1.47,77.75,0.84,0.52,0.0,0.02,1.2,0.82,1.06,0.02,1.35,1.54,0.02,0.0,0.24,0.01,0.0,0.0,0.0,0,0.0,1.8,0.22,10.95,0.12,0.03,0.02,10.33,7.41,125.09999999999998,32.36468116869785,388.70555241723594,-13.216330952566672,-0.8899054449408368,532.0639971884264
Madera y productos de madera y corcho,6.35,0.01,0.01,21.52,0.01,0.78,0.44,2.76,0.93,0.0,0.01,0.02,1.55,211.96,5.66,0.0,0.0,0.46,0.0,1.77,3.87,0.01,1.57,1.11,0.0,0.0,0.36,0.0,0.0,2.32,0,0.98,86.38,0.22,332.1,0.03,0.01,0.01,3.15,42.11,728.47,1309.2330649488729,39.779251132018096,-928.1825264137556,12.846289638169537,1162.146079305305
"Pulpa de madera, papel, imprentas y editoriales",7.69,0.71,0.23,5.48,1.2,27.58,18.85,63.39,19.92,0.0,5.31,6.6,4.72,5.76,382.44,0.42,1.78,13.36,7.25,13.81,17.7,0.46,0.63,2.17,0.35,0.24,1.91,0.23,0.93,0.93,0,0.95,18.64,0.04,5.41,11.3,37.15,35.94,248.05,447.26,1416.7899999999997,77.48645003225249,303.9927586319279,24.207716902901183,-43.7164080536495,1778.760517513432
"Coque, petróleo refinado y combustible nuclear",14.49,114.59,10.9,398.35,15.63,14.62,10.07,101.68,11.52,0.0,16.41,7.78,1.17,6.48,12.31,39.26,5.53,14.87,1.56,5.19,38.95,24.73,49.83,6.96,0.02,0.02,2.67,0.01,0.28,0.68,0,1.11,15.51,90.78,65.28,1034.05,15.21,3.88,32.06,226.42,2410.86,782.4358747483142,501.17574958830687,-51.82970704648481,-1.9637804754925128,3640.678136814644
Productos químicos básicos,5.58,0.21,0.08,57.57,0.43,1.08,1.74,7.97,15.62,0.0,21.55,3.43,8.64,0.08,8.48,0.11,6.06,18.67,0.51,47.81,8.55,2.35,5.7,1.98,0.28,0.19,1.96,0.0,0.38,0.61,0,0.47,30.39,0.13,0.38,0.69,0.27,0.2,2.61,14.6,277.36,269.8879829973531,64.0847524914452,10.881307577813182,16.82655678933736,639.0405998559489
Otros productos químicos (excluye farmacéuticos),28.5,2.58,2.67,71.0,1.09,4.65,1.52,18.56,1.67,0.0,15.43,10.66,9.99,42.91,29.59,1.04,45.36,100.86,22.09,32.39,15.92,1.23,5.31,14.02,0.18,0.0,1.77,0.0,0.24,2.99,0,3.05,56.15,0.89,73.27,1.74,6.42,4.59,35.52,274.99,940.8399999999999,101.15336843928002,482.5265052666183,29.460972500927678,-36.714502679551515,1517.2663435272743
Productos farmacéuticos,22.01,0.01,0.01,0.12,1.27,1.11,0.38,2.39,7.59,0.0,0.05,0.05,0.02,0.02,0.03,0.01,1.06,1.38,32.65,0.04,0.03,0.02,0.03,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0,0.0,0.04,0.01,0.28,3.24,0.25,0.19,3.11,129.99,207.43,15.944261909134859,444.0354259175486,-53.97536121823699,-2.420814487960456,611.013512120486
Productos de caucho y plástico,6.32,3.86,9.51,15.83,9.99,42.6,16.25,70.54,81.09,0.0,15.35,14.7,28.0,1.0,53.24,1.91,12.92,88.3,27.07,70.5,9.0,0.15,4.58,5.45,0.54,0.0,4.48,0.0,0.25,0.97,0,1.19,77.42,0.33,172.03,43.08,0.71,0.96,10.8,221.93,1122.8500000000001,166.92406463524884,167.7947130976976,-76.38758001949398,132.71343447106892,1513.8946321845217
Productos minerales no metálicos,5.38,0.73,1.06,98.33,0.19,0.63,0.6,23.88,20.58,0.0,1.57,0.72,0.32,0.42,1.54,0.18,0.63,13.82,2.91,2.29,70.71,12.14,25.79,1.39,0.21,0.01,2.03,0.0,0.27,1.26,0,0.69,13.02,2.34,901.45,1.55,0.71,0.98,5.39,128.16,1343.88,240.3062414653148,43.67306804967011,2.0596087826210976,31.878727808027406,1661.7976461056335
Hierro y acero,0.56,1.58,9.5,30.84,0.12,0.73,0.89,6.58,0.34,0.0,1.31,0.66,0.25,0.52,0.54,1.97,0.09,2.57,0.05,1.0,7.84,4.19,3.19,119.19,0.68,1.57,27.91,0.42,1.53,9.26,0,10.13,33.72,1.77,230.46,0.32,0.29,0.33,4.94,23.61,541.45,25.776235470198237,10.175370116569031,19.8827335957291,63.35332035148008,660.6376595339765
