Sector,Agricultura y forestal,Caza y pesca,Minería (energía),Minería (no energía),Carne y derivados,"Molinería, panadería y pastas",Azúcar y productos de confitería,Otros productos alimenticios,Bebidas,Productos de tabaco,Textiles,Confecciones,Calzado,Madera y productos de madera y corcho,"Pulpa de madera, papel, imprentas y editoriales","Coque, petróleo refinado y combustible nuclear",Productos químicos básicos,Otros productos químicos (excluye farmacéuticos),Productos farmacéuticos,Productos de caucho y plástico,Productos minerales no metálicos,Hierro y acero,Metales no ferrosos,Productos fabricados de metal (excepto maquinarias y equipos),Maquinarias y equipos (excluye maquinaria eléctrica),Equipos de oficina (incluye equipo computacional),Maquinarias y aparatos eléctricos,"Radio, televisión y equipos de telecomunicaciones",Equipo médico e instrumentos ópticos y de precisión,"Vehículos de motor, remolques y semirremolques",Aeronaves y naves espaciales,Otro equipo de transporte,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),Electricidad y gas,Construcción,Transporte,Correo y telecomunicaciones,Finanzas y seguros,Servicios a empresas de todo tipo,Otros servicios,DI,X,Consumo,FBK,Ajuste Preliminar,DT a PB
Textiles,9.54327155751393,0.026748657052449037,0,0.0,5.833516990550337,2.9105271299894446,6.254455388657904,2.0148193315303935,0.0,0.0,56.17704735728387,22.56650233403876,4.663437572988212,3.4069486683949584,3.4542525660736323,1.8994661482006907,0.35643920068373397,0.24805469474064115,1.097044476881273,0.537327907043889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,3.027331761106353,0.20046066954211145,0.0,3.376796430834762,6.045983601972592,0.16237200071421037,1.8116723121058558,9.955039126705282,145.5695158846053,27.340956424125338,213.90687360870822,-13.279253383177792,39.665671894541504,413.2037644288026
Confecciones,3.956852933105574,0.01092550781015524,0,0.0,2.382704122900842,1.1888068559111817,2.603970503904923,0.9297028283808372,0.0,0.0,23.40744676663069,9.43481771940931,1.904784360798002,1.4457533246278607,1.4472648967397181,0.7770539019037715,0.15374571679570606,0.11128884996344703,0.4809886581925371,0.23558628156369163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.2365157897476653,0.09849440427774163,0.0,1.474014264751357,2.469878040539761,0.06905434874591396,0.7540207338310346,4.160121840664891,60.73379265119661,36.316806729882956,87.37041316412025,-6.699740842101271,-9.113249367630715,168.6080223354678
Calzado,0.9406095367874032,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2885180505890792,0.5262961051701873,24.040990385437404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.7079203513260209,0.0,0.0,0.8499162240084117,3.7987219907323784,0.0,0.0,0.8855332057515501,33.03850584980243,81.79333603539627,62.144922459433765,-14.212973268765857,-40.859932235296256,121.90385884057035
Madera y productos de madera y corcho,7.732194517873468,0.04363202456601539,0,0.17724114650147155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.949846137325427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,2.5266176117511594,0.0,19.64418142214503,0.0,0.0,0.0,0.20563293845988356,0.004959349579063485,48.28430514820152,76.97681063141965,36.00513103392565,92.64211575795582,-9.972905714906716,243.93545685659595
"Pulpa de madera, papel, imprentas y editoriales",2.975319780140397,0.0,0,0.0,0.0,0.5697565815826979,0.0,0.7486838787672182,0.23187183120005267,0.15393820407457748,0.0,0.0,0.0,0.0,48.69709455293983,0.0,0.021967205487044277,0.010652446310627731,0.05919862733651589,0.028995246042375116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.7710572505862218,1.1645885421262927,0.0,0.6625877706379081,17.917958921808797,3.113818509331842,19.898421846060167,30.292095994663587,127.31800718909616,4.178508547499888,136.2726145715136,36.28584359352602,-12.258589441421123,291.79638446021454
"Coque, petróleo refinado y combustible nuclear",40.29373577219319,1.04196074930629,0,0.005272282936481023,3.3579140290119036,5.532769815987215,0.24770130850260133,1.3561780273163297,2.791790764983377,1.162642690520998,0.349024491876497,0.04887447203572965,1.32578918318235,0.9596622037160266,0.6191555286231719,34.96014188897808,0.03469332191331709,0.030908595886409727,0.11447628106077684,0.05607001521344171,3.296924527542609,0.003885588954849118,0.0004317321060943464,0.256228454827313,13.073942412494992,0.05430139002095699,0.08976486639669262,0.12515485204161758,0,0,0,0.3016992758435074,18.266607769231786,0.5612099555517099,27.930274721929287,47.35008842689702,20.063793370726696,0.6306673606186765,0.5873647948932559,0.4026305800359646,227.2837315033572,0.5009730220311153,215.2438234282265,430.938802063602,-25.497120641233664,848.4702093759831
Productos químicos básicos,6.753614670002542,0.011628538810184198,0,0.2330611197562552,0.1282099623190539,0.12713563143892087,0.13573444587434494,0.5622759575129028,1.536364072761347,1.0199821381560361,0.2904536676452401,0.11324004833385695,1.8760328720950956,0.15247851293904408,1.0355656708024197,0.08626402134760963,0.8375309598625081,0.22308690595250372,1.9248250157383537,0.9427714362800106,0.2001175816029996,0.11536631763508393,0.01405479601919756,0.014072057888765028,0.8398870297273233,0.0020651825570542535,0.003217842588898488,0.004658667628703784,0,0,0,0.14272501267370044,2.557701721562658,0.10310236873535703,0.2379479275019341,2.763568773733913,0.31975128055637536,0.6710938960280175,1.6222209453730128,7.4761307409332485,35.07793779037447,12.321254964949642,25.397941090750713,50.836777961545465,-15.508754045560323,108.12515776205996
Otros productos químicos (excluye farmacéuticos),3.6837898200013854,0.009514259026514345,0,0.14773800847135218,0.10489906007922596,0.1040200620863898,0.10434925968451504,0.37693748674583394,1.0147229282095838,0.6736679673138501,0.19775136209930017,0.07417662484793118,1.5349359862596237,0.10456829846715922,0.6388679510978458,0.07057878804386943,0.22308690595250372,0.20794476369120085,1.0698420055782947,0.5240042476301849,0.059891548608295,0.06477808256287287,0.008708617962722116,0.011513501908989573,0.6626838848674119,0.0016896948194080263,0.002632780300007855,0.003811637150757641,0,0,0,0.10167274075243724,2.0926650449149014,0.08435648351074669,0.1946846679561279,2.261101723964109,1.3043254515662732,0.5481218620726707,1.2693089967424132,9.210080682500987,28.747423187447694,19.666124776414186,20.78013361970513,41.54643515503228,-22.418515312531454,88.32160142606783
Productos farmacéuticos,22.28465446667505,0.03837026274067513,0,0.6910798993760283,0.4230497073153969,0.4195047771385267,0.43570746564385693,1.7044984729140034,4.629750483243541,3.073661302519422,0.8860017206474988,0.3401265550336154,6.190276817014119,0.46649236144088746,3.0387869434486303,0.2846406540808323,1.924825015738353,1.6587313465438265,2.9686808340855038,1.454047755470449,0.47186842149457175,0.3269287262851806,0.041311380930150514,0.04643305296629538,2.726887956116371,0.00681440709061673,0.010617797094681882,0.015372034599763317,0,0,0,0.44353666362521277,8.43955450212594,0.34020310222441036,0.7851480436090754,7.150249034188377,5.262990791961097,2.2126508202568043,5.247591376431697,29.521576044950297,115.96262099702074,16.19768533413579,83.80465410416058,167.52701347059386,-26.97748583077407,356.5144880751369
Productos de caucho y plástico,10.914932800004104,0.01879359807706537,0,0.33848811398009543,0.2072080199095821,0.2054717275780539,0.2134077382745422,0.8348563948966548,2.2676328897519378,1.5054667604176764,0.43396002643959136,0.16659259838381163,3.031972318537528,0.2284860545832918,1.4883854416891251,0.13941583057020354,0.9427714362800106,0.8124398432051394,1.45404775547045,0.7121866557406281,0.23111922685448427,0.160128355731517,0.02023414576170638,0.02274271982022631,1.3356185907508757,0.0033376687790775826,0.005200553679027861,0.007529159803965707,0,0,0,0.21724244748990013,4.133659347980053,0.16663009088542552,0.3845623070738328,3.5021627922555325,2.5777914083074758,1.0837473405339448,2.5702488374359334,13.865319473166483,56.203790470098966,7.584152829527453,41.047177520405185,82.64827539158983,-12.864055094818212,174.6193411168032
