Sector,In degree weighted,Out degree weighted,Hub,Authority,Random Walk Centrality,Counting Betweenness
Agricultura y forestal,0.28172395505106107,1.693509215259684,0.41574283619600905,0.021294766112820905,0.019174030198236068,1.9332934488803268
Caza y pesca,0.35055456481704195,0.04819351116286163,0.007704412708516886,0.009854349821034065,0.039072626713748115,4.223126371995545
Minería (energía),0.0,0.0,0.0,0.0,0.0,0.0
Minería (no energía),0.3851113391555568,0.17607755686568405,0.005656721890089433,0.013566360522138462,0.004497129672793952,0.5582239632828674
Carne y derivados,0.7812537122861533,0.2721849562690809,0.032305366939595515,0.2168680759116366,0.01258550637562795,1.4309353160094398
"Molinería, panadería y pastas",0.706519727186463,0.08964422353103206,0.017526053217101833,0.1189430258920906,0.02765554811085628,13.518484489607845
Azúcar y productos de confitería,0.1764600069390657,0.015108315711300906,0.0018039281344269962,0.01114044843508536,0.011127916264680168,1.3818222084850833
Otros productos alimenticios,0.506893388616873,0.2390204544463229,0.02948927685164924,0.08256219079196639,0.04803031364501978,6.839249517785008
Bebidas,0.5260034390993231,0.03406994746579681,0.0032015243346369348,0.07735133863160829,0.03489905607188372,7.6432964854403975
Productos de tabaco,0.2593704425203603,0.0,0.0,0.010462564298619496,0.0,0.0
Textiles,0.3665257873954453,0.23671035630154624,0.010693609776846701,0.05251604822492393,0.005862174059177707,0.7574241594737494
Confecciones,0.48418517239368786,0.09287854704234855,0.0035676591071964396,0.017373310697612308,0.022744117788999926,8.727295099654212
Calzado,0.5309890069686519,0.0921634971892378,0.0037644501653193094,0.02544451453634759,0.018107613115645727,4.034072031004954
Madera y productos de madera y corcho,0.3835866166155546,0.21780332395416,0.01031975190569291,0.05416731463632483,0.007107114348744605,0.9908964432757567
"Pulpa de madera, papel, imprentas y editoriales",0.3946003964175978,0.34360194791881615,0.014453067230539905,0.017523954356248164,0.01246745899970022,2.001318250167431
"Coque, petróleo refinado y combustible nuclear",0.07130558641076827,0.8692546907624318,0.03021152228619939,0.002280993612059331,0.0017903552014069228,0.21898318915983922
Productos químicos básicos,0.4131736662408933,0.38248294766107505,0.01457278702979681,0.015002424917533732,0.013908376126423818,1.7807444138775168
Otros productos químicos (excluye farmacéuticos),0.3863958752203653,0.3131845789984896,0.011756094922454156,0.014090758228949705,0.0130232445867703,1.636724400217568
Productos farmacéuticos,0.27124522878832863,0.06789044510633727,0.0018545068785895322,0.01159886793438257,0.00817804049948011,2.0228155878381395
Productos de caucho y plástico,0.2592740549386355,0.2949834900788144,0.024390450782694743,0.013144556319860013,0.009627861686083662,0.9945387078544881
Productos minerales no metálicos,0.499336789710234,0.1592609851092594,0.004948401798164172,0.017343681808586857,0.014380358515717862,2.1683454526314176
Hierro y acero,0.316604065574993,0.08101709860684847,0.0025027496767413295,0.009696058494077502,0.020480785097273475,2.3746979546544402
Metales no ferrosos,0.31932304945108486,0.15472508877850202,0.0048452767215202,0.009779327881851027,0.02081875119318937,2.3943214580774574
Productos fabricados de metal (excepto maquinarias y equipos),0.4302304538922646,1.267216358571889,0.03338923439242488,0.01325238153627083,0.024492237644397168,3.3320144791934365
Maquinarias y equipos (excluye maquinaria eléctrica),0.35913716263740403,0.19816106725724095,0.005433440015529314,0.01099864251586648,0.021120180886448684,2.692224612564101
Equipos de oficina (incluye equipo computacional),0.5595141545908906,0.08154331205943818,0.002235861468021833,0.017135225226261576,0.02941090617933342,4.1719146859864065
Maquinarias y aparatos eléctricos,0.41614960722095573,0.1851873851522161,0.005077710585556633,0.012744659253107433,0.0236730050992424,3.113234766920546
"Radio, televisión y equipos de telecomunicaciones",0.4902654221823126,0.027271946890067837,0.0006674541191907605,0.013620945954881331,0.012457807483577187,1.497849867479012
Equipo médico e instrumentos ópticos y de precisión,0.3699973450816897,0.1541451550819274,0.004226554011918388,0.011331237626560658,0.021619680468295027,2.7724219645739048
"Vehículos de motor, remolques y semirremolques",0.30755838202526736,0.08048531369491047,0.001706684179992006,0.010636420065588787,0.02056911125597755,2.8167312765488832
Aeronaves y naves espaciales,0.0,0.0,0.0,0.0,0.0,0.0
Otro equipo de transporte,0.26214314330615374,0.046219504542074144,0.0009800806331952592,0.009065805884259813,0.018252613682449074,2.4067329798432597
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.36846691078278804,0.14761443855623396,0.003662310357825474,0.011567935704387893,0.021615714110548218,2.222739267835124
Electricidad y gas,0.1740644404155856,0.30540314306471983,0.01573939817549022,0.006078401220835913,0.0024851845329339007,0.32085756290791184
Construcción,0.46477124911160667,0.49607479511433855,0.017609463722145457,0.010225680555761186,0.016814484149984286,2.940792413059208
Transporte,0.27294908958583247,1.1480119189636289,0.06788569735372584,0.0119640410387229,0.009720284267835621,1.0278464934507598
Correo y telecomunicaciones,0.229683752386002,0.27373571330388696,0.009573998211478734,0.008795392415419672,0.005785989776206392,0.7294387183925504
Finanzas y seguros,0.20856728810620742,0.9090052143415674,0.046387328563079776,0.007421343172494152,0.004318319206312028,0.5044135355306855
Servicios a empresas de todo tipo,0.296058457520097,0.7641209045923417,0.03082270404818925,0.010211008428798903,0.010536519411031696,1.2076683667249974
Otros servicios,0.2884627215814158,2.2104941028185,0.10329163160845466,0.01294594733502494,0.037839557641614174,3.7407602977948478
