Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Productos fabricados de metal (excepto maquinarias y equipos),803.5767587058778,Maquinarias y equipos (excluye maquinaria eléctrica),850.4415550859519,Textiles,1821.364274074311,"Coque, petróleo refinado y combustible nuclear",163.8658011252568,Correo y telecomunicaciones,187.6421153403328,Azúcar y productos de confitería,488.791919708252
Madera y productos de madera y corcho,712.239644851397,Productos de caucho y plástico,822.324087471465,Azúcar y productos de confitería,1762.8728222689415,Calzado,121.39216575954018,Otros servicios,161.37174648380287,"Radio, televisión y equipos de telecomunicaciones",487.37967681884766
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),643.3766860091284,Productos fabricados de metal (excepto maquinarias y equipos),769.8843207850462,Maquinarias y equipos (excluye maquinaria eléctrica),1678.060629668106,Otro equipo de transporte,116.0443449452874,"Molinería, panadería y pastas",95.83599412574,Calzado,434.2725658416748
Productos farmacéuticos,562.5183568113315,Hierro y acero,719.4994701755876,Productos farmacéuticos,1651.7694509923256,Metales no ferrosos,96.50506039227336,Electricidad y gas,61.423266269266605,Productos fabricados de metal (excepto maquinarias y equipos),349.1413650512696
Azúcar y productos de confitería,516.3959400163282,Textiles,620.0362939496738,Productos fabricados de metal (excepto maquinarias y equipos),1573.461079490924,Electricidad y gas,92.3232780589708,Equipo médico e instrumentos ópticos y de precisión,57.9826512196866,"Vehículos de motor, remolques y semirremolques",340.6790065765381
Otros productos químicos (excluye farmacéuticos),507.4062041476925,Productos minerales no metálicos,591.3382796007791,Calzado,1244.147575438314,Carne y derivados,80.59967893652143,"Radio, televisión y equipos de telecomunicaciones",50.74013734670792,Caza y pesca,313.59378254413605
"Vehículos de motor, remolques y semirremolques",430.3225765131717,Maquinarias y aparatos eléctricos,561.8437807874099,Metales no ferrosos,1120.976150070606,Azúcar y productos de confitería,80.3761285785316,Otro equipo de transporte,43.95319514103968,Hierro y acero,309.9152641296387
"Radio, televisión y equipos de telecomunicaciones",391.11515343089405,Otro equipo de transporte,296.3337125579783,Maquinarias y aparatos eléctricos,941.532042048208,Minería (no energía),59.504187499013526,Bebidas,43.69960015626864,Madera y productos de madera y corcho,283.00466418266296
Maquinarias y aparatos eléctricos,379.6882612607982,Productos de tabaco,229.6282248440733,Madera y productos de madera y corcho,780.7259921757583,Minería (energía),51.2776047712802,Aeronaves y naves espaciales,40.09664295365718,Carne y derivados,217.61877250671387
Caza y pesca,265.9401077606541,Metales no ferrosos,211.1466424209277,"Radio, televisión y equipos de telecomunicaciones",590.1532922308683,"Radio, televisión y equipos de telecomunicaciones",36.62162146945677,Productos de tabaco,39.49050692169952,Otros productos químicos (excluye farmacéuticos),193.0859375
Calzado,265.2618813883169,"Radio, televisión y equipos de telecomunicaciones",199.03813879997415,Caza y pesca,464.9002057937324,Madera y productos de madera y corcho,32.267124570316284,Carne y derivados,38.51399829159181,Equipo médico e instrumentos ópticos y de precisión,183.49148607254028
Equipo médico e instrumentos ópticos y de precisión,216.98607063838008,Caza y pesca,198.9600980330783,Otro equipo de transporte,448.7542429464792,Equipo médico e instrumentos ópticos y de precisión,24.614275932959384,Finanzas y seguros,36.55020029204206,Maquinarias y aparatos eléctricos,180.89870929718015
Otro equipo de transporte,152.42053038850088,Aeronaves y naves espaciales,111.688815550748,Equipo médico e instrumentos ópticos y de precisión,308.2811682028848,Productos de tabaco,20.320094132015218,Madera y productos de madera y corcho,31.27457199349945,Productos de tabaco,98.73066139221191
Productos de tabaco,10.851565631419728,Equipo médico e instrumentos ópticos y de precisión,91.29509756450476,Productos de tabaco,240.47979047549305,Caza y pesca,19.59827456887431,Caza y pesca,10.985282475567658,Otro equipo de transporte,97.26319456100464
Aeronaves y naves espaciales,7.82685192300996,Madera y productos de madera y corcho,68.48634732436139,Aeronaves y naves espaciales,119.51566747375796,Aeronaves y naves espaciales,12.58694507542154,Construcción,4.833917194035166,Aeronaves y naves espaciales,9.866874814033508
Equipos de oficina (incluye equipo computacional),0.0,Equipos de oficina (incluye equipo computacional),0.8863575785188381,Equipos de oficina (incluye equipo computacional),0.8863575785188381,Equipos de oficina (incluye equipo computacional),0.3842175487248898,Equipos de oficina (incluye equipo computacional),1.4514733007807925,Equipos de oficina (incluye equipo computacional),0.0
