Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),45.09222228157402,Metales no ferrosos,59.74471411828839,Metales no ferrosos,118.64220040498716,Otro equipo de transporte,21.362593842493997,Azúcar y productos de confitería,25.427646766553405,Azúcar y productos de confitería,46.59028774499893
Maquinarias y equipos (excluye maquinaria eléctrica),42.99104264435515,Productos de tabaco,55.54152195492752,"Vehículos de motor, remolques y semirremolques",101.96180069151484,Metales no ferrosos,16.19754854768825,Maquinarias y equipos (excluye maquinaria eléctrica),17.784106077620233,Productos químicos básicos,40.36442804336548
Confecciones,42.66146682276237,Productos fabricados de metal (excepto maquinarias y equipos),44.25198292066216,Azúcar y productos de confitería,77.05204856984115,Productos de tabaco,15.259702248411967,Correo y telecomunicaciones,13.61550449273759,Caza y pesca,35.35103765130043
Maquinarias y aparatos eléctricos,40.17640237040372,Otro equipo de transporte,41.32619893138124,Maquinarias y equipos (excluye maquinaria eléctrica),67.99180846947891,Madera y productos de madera y corcho,12.81632960240406,Electricidad y gas,10.50693448142556,Maquinarias y equipos (excluye maquinaria eléctrica),31.772189423441887
"Vehículos de motor, remolques y semirremolques",34.04632454156516,Productos minerales no metálicos,31.272146335215808,Caza y pesca,62.28594056565671,Azúcar y productos de confitería,12.577108039941486,Productos fabricados de metal (excepto maquinarias y equipos),8.445374238571855,Hierro y acero,31.25363777950406
Equipo médico e instrumentos ópticos y de precisión,33.44179069718715,Hierro y acero,29.540284980040283,Maquinarias y aparatos eléctricos,61.443802524329975,Maquinarias y aparatos eléctricos,10.932195807575592,Maquinarias y aparatos eléctricos,8.200304416450004,Minería (no energía),28.885421991348267
Hierro y acero,29.397269365090445,Maquinarias y equipos (excluye maquinaria eléctrica),25.000765825123764,Minería (no energía),61.07352174141334,Maquinarias y equipos (excluye maquinaria eléctrica),10.4399104749012,"Radio, televisión y equipos de telecomunicaciones",6.8343734423519695,"Vehículos de motor, remolques y semirremolques",24.061352014541622
Calzado,26.45355155437741,Maquinarias y aparatos eléctricos,21.267400153926253,Otro equipo de transporte,60.87764477347304,Equipo médico e instrumentos ópticos y de precisión,8.23451811364675,Equipo médico e instrumentos ópticos y de precisión,6.538227409221828,Maquinarias y aparatos eléctricos,23.51627843081951
Otro equipo de transporte,19.5514458420918,Equipo médico e instrumentos ópticos y de precisión,18.61288623376748,Hierro y acero,58.93755434513072,Hierro y acero,7.977897120971434,Caza y pesca,5.988383809404297,Equipo médico e instrumentos ópticos y de precisión,23.48631802946329
Equipos de oficina (incluye equipo computacional),17.690821182137082,Caza y pesca,13.524209867797362,Productos de tabaco,55.54152195492752,Equipos de oficina (incluye equipo computacional),6.505283989405402,Otro equipo de transporte,5.336153942784899,Otro equipo de transporte,21.234220027923584
Azúcar y productos de confitería,6.886118573987818,Minería (no energía),13.050370000637878,Equipo médico e instrumentos ópticos y de precisión,52.05467693095463,Minería (no energía),5.861552544375255,Minería (no energía),5.23845364465694,Productos de tabaco,19.58839059737511
"Radio, televisión y equipos de telecomunicaciones",2.541528773697439,Equipos de oficina (incluye equipo computacional),9.503319454619657,Equipos de oficina (incluye equipo computacional),27.19414063675674,"Radio, televisión y equipos de telecomunicaciones",2.0305159316128663,Construcción,4.003200935520056,Equipos de oficina (incluye equipo computacional),4.625087354332209
Aeronaves y naves espaciales,0.0,"Radio, televisión y equipos de telecomunicaciones",6.282089863756023,"Radio, televisión y equipos de telecomunicaciones",8.823618637453462,Caza y pesca,1.6196834522557495,Equipos de oficina (incluye equipo computacional),1.4955117571753225,"Radio, televisión y equipos de telecomunicaciones",2.339839547756128
Productos de tabaco,0.0,Aeronaves y naves espaciales,0.0,Aeronaves y naves espaciales,0.0,Aeronaves y naves espaciales,0.0,Aeronaves y naves espaciales,0.0022863798869504,Aeronaves y naves espaciales,0.0
Minería (energía),0.0,Minería (energía),0.0,Minería (energía),0.0,Minería (energía),0.0,Minería (energía),0.0,Minería (energía),0.0
